Trial number,Protocol code,Title of the trial,Overall trial status,Location(s) and recruitment status,Age group,Age range secondary identifier,Gender,Number of participants enrolled,Trial region,Medical conditions,Therapeutic area,Trial phase,Product,Primary endpoint,Secondary endpoints,Decision date,Start date,End date,Global end of the trial,Trial results,Sponsor/Co-Sponsors,Sponsor type,Last updated
2022-501622-37-00,N/A,"A Double-blind, Randomized, Active-controlled, Parallel-group, Phase 1/3 study to Compare Efficacy, Pharmacokinetics, Pharmacodynamics and Safety of CT-P53 and Ocrevus in Patients with Relapsing-remitting Multiple Sclerosis.","Ongoing, recruitment ended","Romania:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, Bulgaria:Ongoing, recruitment ended, Czechia:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",432,In both EEA and non-EEA,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Zirtek 1 mg/ml oral solution, Ocrevus 300 mg concentrate for solution for infusion, Paracetamol 500 mg HEXAL bei Fieber und Schmerzen, 500 mg Tabletten, OCRELIZUMAB, Solu-Medrone powder and solvent for solution for injection or concentrate for solution for infusion 125 mg/vial., CT-P53","For PK Group: Area under the concentration-time curve from time zero to Week 2 (AUC0-wk2), For PK Group: Area under the concentration-time curve from Week 2 to Week 24 (AUCwk2-wk24), For Main Study Group: Total number of new GdE lesions on T1-weighted brain MRI up to Week 48",N/A,16/10/2023,16/01/2024,N/A,N/A,No,Celltrion Inc.,Pharmaceutical company,28/07/2025
2023-507633-21-01,MN45053,"An Open-Label, Multicenter Extension Study Evaluating the Patient Perspective of the Physical Impact of Multiple Sclerosis and Providing Continued Access to Ocrelizumab in Patients with Multiple Sclerosis Previously Enrolled in a Genentech and/or F. Hoffmann-La Roche Ltd Sponsored Study and without Access to A Post Trial Access Program","Ongoing, recruiting","France:Ongoing, recruiting, Germany:Ongoing, recruiting","65+ years, 18-64 years","65-84 years, 85+ years","Female, Male",106,In both EEA and non-EEA,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Ocrevus 300 mg concentrate for solution for infusion, Ocrevus 920 mg solution for injection","1. Change from baseline to end of study in Patient-Reported Outcome Measure Information System/Quality of Life in Neurological Disorders Physical Function Measure for Multiple Sclerosis 15a (PROMISnq PFMS-15a), 2. Number of eligible participants who have received access to ocrelizumab in the study (time frame: up to 5 years)","1. The incidence, nature, severity and outcome of serious adverse events, adverse events leading to discontinuation, and adverse events of special interest",22/11/2024,09/12/2024,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,11/09/2025
2024-519975-24-00,TolDec-COMBINEM,Dendritic cells therapy combined with immunomodulatory treatment in multiple sclerosis,"Authorised, recruitment pending","Spain:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",45,EEA only,Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),TolDec,"EFFICACY - Changes from baseline in the number of CUA lesion (mean number of the sum at week 12, 18 and 24). A CUA lesion is defined as a new or persisting gadolinium-enhancing (Gd+) lesion on T1 MRI or a new or enlarging lesion on T2. Lesions identified in both scans were only counted once., SAFETY: - Proportion of patients with any Grade 3 -4 adverse events related to product administration during the study period. - Proportion of patients with any Grade 3 -4 adverse events related to study product.",N/A,13/01/2025,N/A,N/A,N/A,No,Fundacio De Recerca Clinic Barcelona-Institut D’Investigacions Biomediques August Pi I Sunyer,Laboratory/Research/Testing facility,13/01/2025
2023-507556-68-00,CFTY720D2311,"A two-year, double-blind, randomized, multicenter, active controlled
Core Phase study to evaluate the safety and efficacy of fingolimod administered orally once daily versus interferon β-1a i.m. once weekly in pediatric patients with multiple sclerosis with five-year fingolimod Extension Phase","Ongoing, recruitment ended","Germany:Ongoing, recruitment ended, France:Ongoing, recruitment ended, Slovakia:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended, Romania:Ongoing, recruitment ended",0-17 years,"6-11 years, 12-17 years","Female, Male",35,In both EEA and non-EEA,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"Gilenya 0.5 mg hard capsules, Gilenya 0.25 mg hard capsules","Annualized relapse rate (ARR) and time to relapse, The annualized rate of new/newly enlarged T2 lesion, Patients free of new or newly enlarged T2 lesions","The number of Gd-enhanced T1 lesions, Patients free of Gd-enhanced T1 lesions, Number of CUA lesions, Change from baseline in T2 lesion/ T1 hypointense lesion volume, Percent brain volume change",04/04/2024,26/07/2013,N/A,N/A,No,Novartis Pharma AG,Pharmaceutical company,16/05/2025
2025-522140-40-00,N/A,TARGET-EBV in MS: A prospective randomized controlled parallel group phase 2b double blinded study to investigate if targeting Epstein Barr Virus with Tenofovir Alafenamide Fumarate compared to placebo as add-on treatment to anti-CD20 therapy reduces neuronal damage in multiple sclerosis,"Authorised, recruitment pending","Norway:Authorised, recruitment pending","18-64 years, 65+ years",65-84 years,"Female, Male",60,EEA only,multiple sclerosis,"[""Phenomena and Processes [G] - Immune system processes [G12]"",""Diseases [C] - Nervous System Diseases [C10]"",""Diseases [C] - Virus Diseases [C02]""]",Therapeutic exploratory (Phase II),"Placebo capules, hard, TENOFOVIR ALAFENAMIDE","Change in mean cerebrospinal fluid (CSF) Neurofilament light chain level (NfL) between the treatment groups from baseline (week 0) to End of Study (EOS), (week 52).","Difference in TSPO binding on PET between the treatment groups from baseline (week 0) to EOS (week 52)., Change in patient reported outcomes of fatigue from baseline (week 0) to EOS (week 52)., Difference in number of PRLs in the treatment groups from baseline (week 0) to EOS (week 52)., Total number of AEs, SAEs and SUSARs, Treatment tolerability",11/08/2025,N/A,N/A,N/A,No,Oslo University Hospital HF,Hospital/Clinic/Other health care facility,11/08/2025
2024-516672-16-00,AB20009,"A 96-Week, Prospective, Multicenter, Randomised, Double-Blind, Placebo-Controlled, Phase 3 Study to Compare Efficacy and Safety of Masitinib Dose Titration to 4.5 mg/kg/day versus Placebo in the Treatment of Patients with Primary Progressive or Secondary Progressive Multiple Sclerosis Without Relapse","Authorised, recruiting","Greece:Authorised, recruitment pending, Spain:Authorised, recruitment pending, Poland:Authorised, recruitment pending, France:Authorised, recruiting","65+ years, 18-64 years",N/A,"Female, Male",145,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"masitinib, Placebo to 200mg masitinib, Placebo to 100mg masitinib, masitinib","The primary endpoint is to assess the efficacy of masitinib 3.0 mg/kg/day with a dose escalation to 4.5 mg/kg/day after four weeks on the time to confirmed (12-weeks CDP) EDSS progression. Progression is defined as 1-point worsening when EDSS score ≤5.5, or 0.5-point worsening if baseline score >5.5.","The secondary endpoints of the study include the following: Expanded Disability Status Scale (EDSS): •	Time to confirmed (24-weeks CDP) EDSS progression. Progression is defined as 1-point worsening when EDSS score ≤5.5, or 0.5 if baseline score >5.5) •	Expanded Disability Status Scale (EDSS): Absolute and ordinal change from baseline considering all measurements up to Week 96 •	Time to EDSS score of 7.0, Clinical Global Assessment Tools: •	Timed 25-foot walk (T25-FW) from baseline up to Week 96 and 12 weeks confirmed worsening using 20% threshold •	Nine-hole peg test (9-HPT), right and left hands sides (finger dexterity) from baseline up to Week 96 and 12 weeks confirmed worsening using 20% threshold •	The Symbol Digit Modalities Test (SDMT) from baseline up to Week 96 and 12 weeks confirmed worsening using 4-point threshold, Brain MRI Assessments: •	Brain Volume and Lesions will be measured and assessed at Baseline, Week 48 and Week 96, or early termination (only if patient discontinues after Week 48 and more than 24 weeks have elapsed since last MRI) for the following endpoints: Brain atrophy - Percent brain volume change (PBVC) from baseline at Week 96 or early termination  •	New/newly enlarged T2 lesion count (compared with baseline MRI scan) at Week 96 or early termination, Quality of Life assessment: •	Quality of life assessment: Multiple Sclerosis Quality of Life (MSQOL)-54 instrument from baseline up to Week 96 •	Modified Fatigue Impact Scale (MFIS) from baseline up to Week 96 •	Hamilton Depression Rating Scale (HAM-D) from baseline up to Week 96 •	Disability Impact Profile (DIP) from baseline up to Week 96, Relapses: •	Occurrence of new or worsening neurological symptoms attributable to MS •	Symptoms persisting for >24 hours •	Symptoms not attributable to confounding clinical factors (e.g., fever, infection, injury, adverse reactions to medications) •	Symptoms immediately preceded by a stable or improving neurological state for at least 30 days •	Ssymptoms accompanied by objective neurological worsening consistent with an increase of at least half a step on the EDSS scale, Biomarker(s): •	Comparison of serum Neurofilament Light Chain (NfL) and Glial Fibrillary Acidic Protein (GFAP) levels at Baseline and Week 96 or early termination (only if patient discontinues after Week 48 and more than 24 weeks have elapsed since last test)  These biomarkers are to be tested in a subgroup of 200 patients of pre-selected sites",30/01/2025,02/02/2024,N/A,N/A,No,Ab Science,Pharmaceutical company,31/01/2025
2024-519800-28-00,CN45847,"An Open-Label, Single-Arm Study to Evaluate Pharmacokinetics, Pharmacodynamic Effects, Safety and Tolerability of Fenebrutinib in Children and Adolescents with Relapsing Multiple Sclerosis","Authorised, recruitment pending","Portugal:Authorised, recruitment pending, Spain:Authorised, recruitment pending, France:Not authorised, Poland:Authorised, recruitment pending",0-17 years,"6-11 years, 12-17 years","Female, Male",8,In both EEA and non-EEA,Relapsing Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"Fenebrutinib, Fenebrutinib","Plasma concentration of fenebrutinib at specified time points, Total number of new T1 gadolinium−enhancing lesions observed on brain MRI scans at Week 12","Occurrence and severity of adverse events, with severity determined according to NCI CTCAE v5.0, Change from baseline in vital signs, Change from baseline in ECG parameters, Change from baseline in clinical laboratory test results, Proportion of participants with suicidal ideation or behavior, as assessed by Columbia-Suicide Severity Rating Scale",24/06/2025,N/A,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,30/06/2025
2023-504577-21-00,CLADRI_NET,"A phase IV, unicentric, open label clinical trial to evaluate the default mode network in multiple sclerosis patients on Cladribine treatment.","Authorised, recruitment pending","Spain:Authorised, recruitment pending",18-64 years,N/A,"Female, Male",20,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic use (Phase IV),MAVENCLAD 10 mg tablets,Changes in resting state functional activity indexes (rs-fMRI) at 18 months compared to baseline,"Changes in resting state functional activity indexes (rs-fMRI) after 18 months of cladribine treatment, Changes in Image Tensor Diffusion of main cerebral tracts after 18 months of cladribine treatment., Changes in volumetric measures from key brain region (corpus callosum, thalamus and hippocampus) after 18 months of cladribine treatment, The contribution of cortico-cerebellar connectivity to MS cognitive performance after 18 months of cladribine treatment, Changes in cortical Atrophy Index after 18 months of cladribine treatment after 18 months of cladribine treatment., Changes in Brain Activity during processing speed task after 18 months of cladribine treatment., Changes in cognitive functioning indexes measured with neuropsychological tests after 18 months of cladribine treatment., Changes in emotional/behavioural indexes measured with neuropsychological tests after 18 months of cladribine treatment., Changes in clinical neurological status measured with EDSS and ARR after 18 months of cladribine treatment.",26/06/2023,N/A,N/A,N/A,No,María Luisa Martínez Ginés,Health care,26/06/2023
2023-507874-42-00,N/A,A phase 2 trial assessing Ifenprodil as a ReMyelinating repurpOsed Drug in Multiple Sclerosis – MODIF-MS,"Ongoing, recruiting","France:Ongoing, recruiting",18-64 years,N/A,"Female, Male",80,EEA only,Multiple sclerosis,"[""Diseases [C] - Musculoskeletal Diseases [C05]""]",Phase I and Phase II (Integrated)- Other,N/A,N/A,N/A,18/03/2024,27/08/2024,N/A,N/A,No,Assistance Publique Hopitaux De Paris,Hospital/Clinic/Other health care facility,18/03/2024
2024-513292-40-00,RECHMPL23_0397,DESIRE MS: A prospective randomized non-inferiority trial comparing anti-CD20 maintenance versus De-Escalation Strategy In Relapsing-Remitting Multiple Sclerosis,"Authorised, recruitment pending","France:Authorised, recruitment pending","65+ years, 18-64 years",N/A,"Female, Male",250,EEA only,Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"OFATUMUMAB, DIMETHYL FUMARATE, OCRELIZUMAB, PEGINTERFERON BETA-1A, DIMETHYL FUMARATE, GLATIRAMER ACETATE, TERIFLUNOMIDE, GLATIRAMER ACETATE, DIROXIMEL FUMARATE, INTERFERON BETA-1A, RITUXIMAB, INTERFERON BETA-1A",The % of patients without disease activity between D0 and M36. Disease activity is defined as 1) the presence of at least one clinical relapse between inclusion and M36 AND/OR 2) Brain MRI activity defined as at least 1 new/enlarged T2/FLAIR lesion on MRI scans between baseline MRI and M36.,"Relapses, Disability, New/enlarged T2/FLAIR lesions, Adverse event and severe adverse events, Infections and serious infections, B-cells counts, Serum immunoglobulin levels (IgG, A, M), Brain volume, Neurofilaments light chain values, EQ5D-5L score, MUSICARE score, Incremental cost-utility ratio at year 3, Annual budget impact from the SNDS (Système National des Données de Santé hosted by French Health Insurance)",28/04/2025,N/A,N/A,N/A,No,Centre Hospitalier Universitaire De Montpellier,Hospital/Clinic/Other health care facility,28/04/2025
2024-519284-18-00,TG1101-RMS401,"Evaluating safety, efficacy and pharmacokinetics of a modified regimen of ublituximab (ENHANCE)","Ongoing, recruitment ended","Poland:Ongoing, recruitment ended","18-64 years, 65+ years",N/A,"Female, Male",150,In both EEA and non-EEA,Relapsing multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"PARACETAMOL, CETIRIZINE, DEXAMETHASONE, GADOBUTROL, ublituximab, METHYLPREDNISOLONE, DIPHENHYDRAMINE, ublituximab placebo","The proportion of participants with no change or reduction in number of T1 Gd-enhancing lesions from baseline to Week 48, Part B: PK (AUC) over the first 16 weeks (AUC0-W16)","Part A: The proportion of participants free of T1 Gd-enhancing lesions at Week 48, Part A: The proportion of participants experiencing IRRs as reported by the Investigator, Part A: Treatment Satisfaction Questionnaire for Medication (TSQM-9) scores at Week 24 and Week 48, Part A: Pharmacokinetics of ublituximab, Part B: The proportion of participants who experience any grade treatment-emergent adverse events (TEAEs), Part B: The proportion of participants experiencing infusion related reaction (IRR) as reported by the Investigator, Part B: The number of T1 Gd-enhancing lesions per MRI scan at Week 24 and Week 48, Part B: PK (Cmax) at Day 1 and Day 15, Part B: The proportion of participants with CD19+ B-cell counts below a specific level at all timepoints",20/03/2025,18/06/2025,N/A,N/A,No,Tg Therapeutics Inc.,Pharmaceutical company,19/09/2025
2024-516732-97-00,FETEM,"AMANTADINE AND TRANSCRANIAL MAGNETIC TRANSCRANIAL MAGNETIC STIMULATION FOR FATIGUE IN MULTIPLE SCLEROSIS: A PHASE III, CONTROLLED, RANDOMISED, DOUBLE-BLIND, CROSSOVER TRIAL","Ongoing, recruitment ended","Spain:Ongoing, recruitment ended","65+ years, 18-64 years",N/A,"Female, Male",144,EEA only,multiple sclerosis (MS),"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),Amantadine Level 100 mg cápsulas duras,The change in the values of the MFIS questionnaire is considered as the main study variable for the evaluation of effectiveness.,"- Patient-perceived quality of life. The change in the mean score of the patient-perceived quality of life scale (SF-12) between the time of inclusion in the study and at the beginning and end of each phase will be assessed. - Beck Depression Inventory-II to assess depressive symptomatology. The assessment will be made at inclusion, and at the beginning and end of each phase. - Total costs per patient. Total costs of hospitalisation and treatment as well as other health care will be measured. -",11/09/2024,28/11/2022,N/A,N/A,No,Fundacion Para La Investigacion Biomedica Del Hospital Clinico San Carlos,Laboratory/Research/Testing facility,11/09/2024
2022-502619-13-00,GN43271,"A Randomized, Double-Blind, Placebo-Controlled Study to Investigate the Efficacy of Fenebrutinib in Relapsing Multiple Sclerosis","Ongoing, recruitment ended","Czechia:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, Slovakia:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",67,In both EEA and non-EEA,Relapsing Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),N/A,"1. Total number of new gadolinium-enhancing T1 lesions observed on MRI scans of the brain at Weeks 4, 8, and 12","1. Total number of new or enlarging T2- weighted lesions observed on brain MRI at Weeks 4, 8, and 12, 2. Proportion of participants free from any new gadolinium-enhancing T1 lesions and new or enlarging T2-weighted lesions observed on brain MRI at Weeks 4, 8, and 12, 3. Incidence and severity of adverse events, 4. Change from baseline in vital signs, 5. Change from baseline in targeted clinical laboratory test results, 6. Proportion of participants with suicidal ideation or behavior, as assessed by Columbia-Suicide Severity Rating Scale, 7. Plasma concentration of fenebrutinib at specified timepoints",01/08/2024,25/01/2022,N/A,N/A,No,F. Hoffmann-La Roche AG,Pharmaceutical company,13/02/2025
2024-512707-40-00,ZB012-02-002,"A Phase 2, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Obexelimab in Patients with Relapsing Multiple Sclerosis","Authorised, recruiting","Greece:Ongoing, recruitment ended, Finland:Ended, Italy:Ongoing, recruitment ended, Czechia:Ongoing, recruitment ended, Denmark:Ongoing, recruitment ended, Austria:Ongoing, recruitment ended, Croatia:Ongoing, recruitment ended, Spain:Ongoing, recruitment ended, Belgium:Ongoing, recruitment ended, Poland:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",60,In both EEA and non-EEA,RELAPSING MULTIPLE SCLEROSIS,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"Placebo sterile solution for SC injection, Obexelimab","Cumulative number of new GdE T1 hyperintense lesions over Week 8 and Week 12, as measured by brain MRI","Cumulative number of new and/or enlarging T2 weighted hyperintense lesions detected over Week 8 and Week 12, Number of new GdE T1 hyperintense lesions at Week 4, Week 8, and Week 12, Change from baseline in volume of T2 lesions at Week 12, Change from baseline in serum NfL at Week 12, Incidence of adverse events (AEs), serious adverse events (SAEs), and AEs of special interest, (AESI), as defined by the Common Terminology of Criteria for Adverse Events (CTCAE) Version 5.0",27/09/2024,07/11/2024,N/A,N/A,No,Zenas Biopharma (USA) LLC,Pharmaceutical company,19/08/2025
2024-511028-15-00,STEMS2,"A phase 2, randomized, patient and assessor blind, multicentre study comparing foetal neural stem cells transplantation to sham procedure in progressive multiple sclerosis (STEMS2)",Temporarily halted,Italy:Temporarily halted,"65+ years, 18-64 years",65-84 years,"Female, Male",86,EEA only,Progressive Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"TACROLIMUS, human fetal neural precursor cells",Change in whole brain volume evaluated through magnetic resonance imaging (MRI) in 96 weeks (W) of follow-up,"Rate and nature of the adverse events, classified according to the Common Terminology Criteria for Adverse Events (CTCAE) version 5.0 and attributed to the investigational medicinal product accordingly to national cancer institute (NCI) guidelines of adverse event (AE) reporting requirements., Percentage change in brain grey matter volume evaluated through MRI in 96 weeks of follow-up., Percentage change in brain white matter volume evaluated through MRI in 96 weeks of follow-up., Proportion of patients with no evidence of 24-weeks confirmed disability progression (defined as progression by 1 step on the Expanded Disability Status Scale (EDSS) in patients with EDSS ≤ 5.5 or of 0.5 EDSS steps in patients with EDSS ≥ 6, confirmed after 24 weeks interval) in 96 weeks of follow-up, Proportion of patients with no evidence of progression (defined as no progression sustained for at least 24 weeks on all of the following three components: confirmed disability progression; ≥20% increase in timed 25-foot walk test [T25FWT]; ≥20% increase in nine-hole peg test [9HPT]. The T25FWT will not be considered for patients who are unable to complete the test at baseline [EDSS score ≥ 7.0] in 96 weeks of follow-up., Proportion of patients with no active disease, defined as no clinical relapses, no enlarging or new T2 hyperintense lesions, and no gadolinium (Gd+)-enhancing lesions in 96 weeks of follow-up., Change in cognitive function as measured by the symbol digit modalities test (SDMT) in 96 weeks of follow-up.",12/08/2024,04/08/2025,N/A,N/A,No,Ospedale San Raffaele S.r.l.,Hospital/Clinic/Other health care facility,18/03/2025
2023-508439-30-00,NXPTEGO/23/P1-4,Safety Study to Compare the Gastrointestinal Tolerability of Oral Tegomil Fumarate and Dimethyl Fumarate (Tecfidera®) in Healthy Volunteers.,"Ongoing, recruiting","Portugal:Ongoing, recruiting",18-64 years,N/A,"Female, Male",210,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Human Pharmacology (Phase I)-  Other,N/A,N/A,N/A,15/03/2024,21/08/2024,N/A,N/A,No,Neuraxpharm Pharmaceuticals S.L.,Pharmaceutical company,07/03/2025
2023-503814-62-00,N/A,Tenofovir Alafenamide Fumarate and Epstein-Barr virus activity in people with MS – The TAF-MS study,"Ongoing, recruitment ended","Norway:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",50,EEA only,Multiple sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic exploratory (Phase II),"Capsule coated tablets, Tysabri 300 mg concentrate for solution for infusion, Vemlidy 25 mg film-coated tablets.",Total number of SAEs from baseline to 24 weeks after start of study treatment,"Change in IgG antibodies to EBNA1 and other EBV antigens from baseline to 2, 8 and  24 weeks after start of study treatment., Change in EBV viral load in saliva from baseline to 2, 8 and 24 weeks after start of  study treatment., Key secondary endpoints Change in EBV shedding in saliva",20/11/2023,06/02/2024,N/A,N/A,No,Helse Bergen HF,Hospital/Clinic/Other health care facility,08/11/2024
2024-514549-12-00,FNO-RS2-OCREPRIPRO,The use of therapeutic monitoring of ocrelizumab serum concentrations for personalized pharmacotherapy of relapsing-remitting and primary progressive multiple sclerosis,"Ongoing, recruiting","Czechia:Ongoing, recruiting","65+ years, 18-64 years",N/A,"Female, Male",100,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic use (Phase IV),"Ocrevus 920 mg solution for injection, Ocrevus 300 mg concentrate for solution for infusion","To determine serum concentrations of neurofilament light chains (ng/L), To determine serum concentrations of glial fibrillary acidic protein (ng/L), To determine the presence of antibodies against OCR (mg/L), To determine the number of CD19+ cells (or other cells of the immune system that are associated with MS), To determine the quality of life measured with the MSQOL-54 questionnaire (point value score), To assess clinical status using the 25FWT, 9HPT and SDMT tests (point value score), To assess the results of brain magnetic resonance examination (number of new or recently enlarged T2 lesions or T1 Gd+ lesions, average percentage change in brain volume), To determine disability progression (assessed as change on the EDSS scale), To determine the course of MS (assessed as NEDA-3 concept), To determine  occurrence of relapses since the previous check-up (for patients with relapsing remitting MS)","To determine serum concentrations of OCR in patients with RR and/or PP RS – observational goal, To determine whether the dose of OCR or the serum concentration of OCR better correlates with the development of paraclinical and clinical parameters  and with the prognosis of patients with RR and/or PP MS - observational goal, To analyze the correlation of possible adverse effects of OCR with its measured serum concentration; evaluated variables: OCR adverse effects (infectious and other), blood count, serum creatinine concentration (µmol/L), eGFR (ml/s), serum concentration of IgG (g/L) and IgM (g/L) – safety target, On the basis of the obtained data, possibly introduce TDM OCR into routine clinical practice in patients with RR and/or PP MS and thus expand the multidisciplinary approach to patients with this diagnosis – implementation goal",10/09/2024,16/06/2025,N/A,N/A,No,Fakultni Nemocnice Ostrava,Hospital/Clinic/Other health care facility,05/09/2025
2024-510716-71-00,N/A,Ocrelizumab VErsus Rituximab off-Label at the Onset of Relapsing MS Disease (OVERLORD-MS),"Ongoing, recruitment ended","Norway:Ongoing, recruitment ended, Sweden:Ongoing, recruitment ended",18-64 years,N/A,"Female, Male",214,EEA only,Multiple Sclerosis,"[""Diseases [C] - Nervous System Diseases [C10]""]",Therapeutic confirmatory  (Phase III),"MabThera 500 mg concentrate for solution for infusion, Ocrevus 300 mg concentrate for solution for infusion","Proportion of patients with no new or enlarging T2-weighted brain MRI lesions from month 6 (re-baseline) to month 24, SWITCH: Proportion of patients with no new or enlarging T2-weighted brain MRI lesions from  month 24 to month 36, REDUCE: Proportion of patients with no new or enlarging T2-weighted brain MRI lesions from  month 36 to month 60 compared to the period before (month 0-36","The annual relapse rate from baseline to month 24, Proportion of patients without relapses from baseline to month 24, Proportion of patients with progression in SDMT from baseline to month 24. Progression in SDMT is defined as patients experiencing a reduction of 15% or more from baseline (Strober, DeLuca et al. 2019, Marstrand, Osterberg et al. 2020), Frequency of SAE/SAR and AESI during 24 months of treatment, The frequency of immediate and delayed infusion reactions during 24 months of treatment, The frequency of infections during 24 months of treatment, The frequency any malignancies during 24 months of treatment, Proportion of patients with no new or enlarging T2-weighted brain MRI lesions from  baseline to month 6, and from baseline to month 24, Proportion of patients without new gadolinium enhancing T1-weighted brain MRI lesions  at month 6, month 12 and month 24, Change in brain volumes from baseline to month 24 and from month 6 to month 24, SWITCH: The annual relapse rate from month 30 to month 36, SWITCH: Proportion of patients without relapses from month 30 to month 36, SWITCH: Proportion of patients without new gadolinium enhancing T1-weighted brain MRI lesions  from month 24 to month 36, SWITCH: Change in brain volumes from month 24 to month 36, SWITCH: Proportion of patients with 6-months confirmed disability progression (6M-CDP) as  measured by the Expanded disability status scale (EDSS) from month 30 to month 36, SWITCH: Proportion of patients with 6-months confirmed disability improvement (6M-CDI) as  measured by the Expanded disability status scale (EDSS) from month 30 to month 36, SWITCH: Proportion of patients with 6M-CDP in SDMT from month 30 to month 36, SWITCH: Frequency of SAE/SAR and AESI from month 30 to month 36, SWITCH: The frequency of immediate and delayed infusion reactions from month 30 to month 36, SWITCH: The frequency of infections from month 30 to month 36, SWITCH: The frequency any malignancies from month 30 to month 36, REDUCE: The annual relapse rate from month 36 to month 60, REDUCE: Proportion of patients without relapses from month 36 to month 60, REDUCE: Proportion of patients with no new or enlarging T2-weighted brain MRI lesions from  month 36 to month 60, REDUCE: Change in brain volumes from month 36 to month 60, REDUCE: Proportion of patients with 6-months confirmed disability progression (6M-CDP) as  measured by the Expanded disability status scale (EDSS) (Kurtzke 1983) from month 36  to month 60, REDUCE: Proportion of patients with 6-months confirmed disability improvement (6M-CDI) as  measured by the Expanded disability status scale (EDSS) (Kurtzke 1983) from month 36  to month 60, REDUCE: Proportion of patients with 6M-CDP in SDMT from month 36 to month 60, REDUCE: Frequency of SAE/SAR and AESI from month 36 to month 60, REDUCE: The frequency of grade 2 or above immediate and delayed infusion reactions from month  36 to month 60, REDUCE: The frequency of grade 2 or above infections from month 36 to month 60, REDUCE: The frequency any malignancies from month 36 to month 60, Proportion of patients with 6-months confirmed disability progression (6M-CDP) as measured by the Expanded disability status scale (EDSS) (Kurtzke 1983) from baseline to month 24.EDSS at month 24 is confirmed at month 30 (6M-CDP is defined in section 8.2.3)., Proportion of patients with 6-months confirmed disability improvement (6M-CDI) as measured by the Expanded disability status scale (EDSS) (Kurtzke 1983) from baseline to month 24. EDSS at month 24 is confirmed at month 30 (6M-CDI is defined in section 8.2.3), SWITCH: Proportion of patients with no new or enlarging T2-weighted brain MRI lesions from  month 24 to month 36",09/10/2024,21/10/2020,N/A,N/A,No,Helse Bergen HF,Hospital/Clinic/Other health care facility,16/09/2025
