NCTId,BriefTitle,OfficialTitle,OverallStatus,StartDate,PrimaryCompletionDate,CompletionDate,LastUpdatePostDate,StudyFirstPostDate,StudyType,Phase,EnrollmentCount,EnrollmentType,LeadSponsorName,LeadSponsorClass,Collaborators,CollaboratorClasses,Conditions,Keywords,LocationCountry,LocationCity,LocationState,TotalLocations,InterventionNames,InterventionTypes,PrimaryOutcomeMeasures,SecondaryOutcomeMeasures,HasResults,ResultsFirstPostDate
NCT00591721,Teleconference Fatigue Management for People With Multiple Sclerosis,Effectiveness of a Teleconference Delivered Fatigue Management Program for People With Multiple Sclerosis,COMPLETED,2007-11,2010-02,2010-02,2013-02-28,2008-01-11,INTERVENTIONAL,NA,190.0,ACTUAL,University of Illinois at Chicago,OTHER,,,Multiple Sclerosis,energy conservation education|occupational therapy intervention|fatigue management|psychoeducation,United States,Chicago,Illinois,1,Energy conservation education,BEHAVIORAL,Change From Baseline in Subscale Scores of the Fatigue Impact Scale,,True,2013-02-28
NCT04997343,Neurophysiological Assessment in Patients With Multiple Sclerosis,Neurophysiological Estimates of Cortical Grey and White Matters Damage in Patients With Multiple Sclerosis,UNKNOWN,2021-10,2023-07-01,2023-09-01,2021-08-09,2021-08-09,INTERVENTIONAL,NA,128.0,ESTIMATED,University of Roma La Sapienza,OTHER,,,Multiple Sclerosis|Demyelinating Disease|Inflammatory Disease,neurophysiology|TMS-EEG|multiple sclerosis,,,,0,Neurophysiological assessment|clinical assessment,OTHER|OTHER,Changes of Global cortico-cortical myelination|Changes of the Cortical-cortical coherence|Changes of the Local cortical-cortical myelination (motor)|Changes of the Trans-callosal axonal myelination|Changes of Interhemispheric signal propagation (iSP)|Changes of TMS-EEG measurement of the functional integrity of the grey matter:|Changes of TMS-EMG measurement of the functional integrity of the grey matter:|Changes of clinical outcome measures|Changes of the Multiple Sclerosis Functional Composite (MSFC)|Changes of radiological outcome measures|Changes of magnetic resonance imaging (MRI) number of lesions in T2,,False,
NCT03110315,A Study of Suvorexant in Patients With Multiple Sclerosis Fatigue and Insomnia,"A Double-blind, Crossover, Placebo-controlled Study to Compare the Effects of Nighttime Administration of Suvorexant in Patients With Multiple Sclerosis Fatigue and Insomnia",COMPLETED,2017-03-28,2022-03-21,2022-03-21,2025-02-03,2017-04-12,INTERVENTIONAL,PHASE4,36.0,ACTUAL,"Theodore R. Brown, MD MPH",OTHER,Merck Sharp & Dohme LLC,INDUSTRY,Multiple Sclerosis|Fatigue|Insomnia,Multiple Sclerosis|Fatigue|Insomnia|Suvorexant|Belsomra|Sleep disorder|Sleep,United States,Kirkland,Washington,1,Suvorexant|Placebo,DRUG|DRUG,Change in Insomnia Severity Index (ISI) Score,Change in Modified Fatigue Index Scale (MFIS) Score|Patient Global Impression of Change|Fatigue Visual Analog Scale,True,2025-02-03
NCT02208050,A Study of the Effectiveness of Fampridine in Improving Upper Limb Function in MS,"A Phase IV Double Blind, Randomized, Placebo Controlled, Crossover Study of the Effectiveness of Oral Fampridine in Improving Upper Limb Function in Progressive Multiple Sclerosis",COMPLETED,2014-02-21,2016-02-16,2016-02-16,2021-07-09,2014-08-04,INTERVENTIONAL,PHASE4,64.0,ACTUAL,University College Dublin,OTHER,,,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis|Multiple Sclerosis|Upper limb function|Mobility|Fampridine|DASH|AMSQ|MSWS-12|MSIS-29|SF-36|9HPT|25FTW|JTT,Ireland,Dublin,Dublin 4,2,Fampridine|Placebo,DRUG|DRUG,Number of Participants Classified as Upper Limb Responders on the 9 Hole Peg Test (9HPT),Number of Participants Defined as Upper Limb Responders on the Jebsen Taylor Hand Function Test (JTT)|The Number of Mobility Responders to Fampridine as Measured by an Improvement in the 25 Foot Timed Walk (T25FW)|Mean Scores in DASH - Fampridine and Placebo.|Mean Scores in Multiple Sclerosis Walking Scale (MSWS-12) - Fampridine and Placebo.|Mean Scores in the Disabilities in Arm Function in Multiple Sclerosis Questionnaire (AMSQ) Score Between Fampridine and Placebo.|Mean Scores of MSIS-29 - Fampridine and Placebo,True,2021-07-09
NCT04562376,High-intensity Resistance Training in People With Multiple Sclerosis Experiencing Fatigue,"High-intensity Resistance Training in People With Multiple Sclerosis Experiencing Fatigue - Effects on Functioning, Wellbeing and Inflammatory Biological Markers",COMPLETED,2020-08-20,2021-06-28,2022-06-30,2022-08-16,2020-09-24,INTERVENTIONAL,NA,73.0,ACTUAL,Karolinska Institutet,OTHER,Neuro+,INDUSTRY,Multiple Sclerosis|Fatigue|Exercise Therapy|Resistance Training|Cytokines,,Sweden,Stockholm,,1,High-intensity resistance training|Low frequency of high-intensity resistance training,OTHER|OTHER,Fatigue Scale for Motor and Cognitive Functions,Fatigue Severity Scale|Hospital Anxiety and Depression Scale|Occupational Gaps Questionnaire|Multiple Sclerosis Impact Scale-29|Euroqool five dimension five level|Euroqool visual analogue scale|Multiplex proteomic immunoassay and enzyme-linked immunosorbent assay,False,
NCT02846558,A Pragmatic Trial of Dietary Programs in People With Multiple Sclerosis (MS),A Pragmatic Trial of Dietary Programs in People With Multiple Sclerosis,COMPLETED,2016-08,2017-06,2017-07,2018-06-15,2016-07-27,INTERVENTIONAL,NA,54.0,ACTUAL,Johns Hopkins University,OTHER,,,Multiple Sclerosis,calorie restriction|weight loss,,,,0,Frequent Patient Interaction|Timing Restriction|LoseIt! Smartphone Application,OTHER|BEHAVIORAL|DEVICE,Adherence,Body Mass Index (BMI)|Weight Change|Weight Change Among Adherent Participants|Functional Assessment in MS Score|Fatigue|Sleep Quality|Self-esteem,True,2018-06-15
NCT00436826,A Phase 2 Study of Cladribine Add-on to Interferon-beta (IFN-beta) Therapy in Multiple Sclerosis (MS) Subjects With Active Disease (ONWARD),"A Phase II, Multicenter, Randomized, Double Blind, Placebo Controlled, Safety, Tolerability and Efficacy Study of Add-on Cladribine Tablet Therapy With Interferon-beta (IFN-β) Treatment in Multiple Sclerosis Subjects With Active Disease",COMPLETED,2006-11-30,2011-09-30,2012-03-31,2020-10-12,2007-02-19,INTERVENTIONAL,PHASE2,172.0,ACTUAL,"EMD Serono Research & Development Institute, Inc.",INDUSTRY,,,Multiple Sclerosis,Multiple Sclerosis|Relapsing forms|Interferon-beta therapy,United States,Cullman,Alabama,39,Cladribine|Placebo|Interferon-beta (IFN-beta),DRUG|DRUG|DRUG,"Double Blind Period: Percentage of Participants With Grade 3 or 4 (Common Terminology Criteria for Adverse Events [CTCAE] v 4.0) Hematological or Liver Toxicity|Double Blind Period: Percentage of Participants With Treatment Emergent Adverse Events (TEAEs) in Infections and Infestations System Organ Class (SOC)|Double Blind Period: Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Serious TEAEs|Double Blind Period: Time to First Grade 3 or 4 Hematological Toxicity or Liver Toxicity|Double Blind Period: Time to Recovery From Grade 3 or 4 Hematological Toxicity|Double Blind Period: Mean Changes in Lymphocytes, White Blood Cells (WBC), Neutrophils and Platelets Values From Baseline to Week 96|Double Blind Period: Maximum Corrected QT Interval (QTc)|Double Blind Period: Mean Change From Baseline in Vital Signs- Systolic and Diastolic Blood Pressure|Double Blind Period: Mean Change From Baseline in Vital Signs- Pulse Rate|Double Blind Period: Mean Change From Baseline in Vital Signs- Weight|Double Blind Period: Mean Change From Baseline in Vital Signs- Temperature|Double Blind Period: Mean Change From Baseline in Electrocardiogram (ECG) Parameters- Heart Rate|Double Blind Period: Mean Change From Baseline in Electrocardiogram (ECG) Parameters- PR, RR, QRS and OT Interval|Double Blind Period: Mean Changes From Baseline in Hemoglobin Level to Week 96|Double Blind Period: Mean Changes From Baseline in CD4+ Count, CD8+ Count, and CD19+ to Week 96|Double Blind Period: Mean Changes From Baseline in Alanine Aminotransferase (ALT) and Aspartate Aminotransferase (AST) to Week 96|Open Label Extension Period: Maximum Corrected QT Interval (Qtc)|Open Label Extension Period: Mean Change From Baseline in Vital Signs- Systolic and Diastolic Blood Pressure|Open Label Extension Period: Mean Change From Baseline in Vital Signs- Pulse Rate|Open Label Extension Period: Mean Change From Baseline in Vital Signs- Weight|Open Label Extension Period: Mean Change From Baseline in Vital Signs- Temperature|Open Label Extension Period: Mean Change From Baseline in Electrocardiogram (ECG) Parameters- Heart Rate|Open Label Extension Period: Mean Change From Baseline in Electrocardiogram (ECG) Parameters- PR, RR, QRS and OT Interval|OLE and Safety Follow-up Period: Percentage of Participants With Grade 3 or 4 (Common Terminology Criteria for Adverse Events [CTCAE] v 4.0) Hematological or Liver Toxicity|OLE and Safety Follow-up Period: Percentage of Participants With Treatment Emergent Adverse Events (TEAEs) in Infections and Infestations System Organ Class (SOC)|OLE and Safety Follow-up Period: Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Serious TEAEs|Open Label Extension Period: Time to First Grade 3 or 4 Hematological Toxicity or Liver Toxicity","Double Blind Period: Number of Combined Unique Active (CUA) Lesions, Active Time Constant 2 (T2) Lesions, and Time Constant 1 (T1) Gadolinium Enhanced (Gd+) Lesions Per Participant Per Scan|Double Blind Period: Mean Number of T1 Hypointense Lesions Per Participant Per Scan at Week 96|Double Blind Period: Percentage of Participants With no Active T2 Lesions at Week 96|Double Blind Period: Percentage of Participants With no Active T1 Gd-Enhanced Lesions at Week 96|Double Blind Period: Mean Change in T2 Lesion Volume From Baseline to Week 96|Double Blind Period: Percent Change in Normalized Brain Volume From Baseline to Week 96|Double Blind Period: Mean Change in T1 Hypointense Lesion Volume From Baseline to Week 96|Double Blind Period: Annualized Qualifying Relapse Rate|Double Blind Period: Percentage of Participants Qualifying Relapse-free|Double Blind Period and OLE Period: Time to 3-Month Sustained Expanded Disability Status Scale (EDSS) Progression|Double Blind Period and OLE Period: Time to First Qualifying Relapse|Double Blind Period: Mean Change in New T1 Gd+ Lesions From Baseline to Week 96",True,2013-07-01
NCT05090033,Characterizing the Use of Ofatumumab in a Real World Setting,"Secondary Use of Data Study Characterizing Kesimpta (Ofatumumab) Onboarding and Utilization in RMS Patients Using MSGo, With a Non-interventional Primary Use of Data Sub-study Comparing Patient Reported Outcomes Relative to Clinical Outcomes (EAFToS)",ACTIVE_NOT_RECRUITING,2022-12-08,2025-12-31,2025-12-31,2025-01-14,2021-10-22,OBSERVATIONAL,,103.0,ACTUAL,Novartis Pharmaceuticals,INDUSTRY,,,Relapsing Multiple Sclerosis,ofatumumab|NIS|RMS,Australia,Concord,New South Wales,7,ofatumumab,OTHER,Part I and II: Proportion of doses not completed within three days of the expected date|Part I and II: Proportion of doses not completed within 3 days of the expected date,Part I: Proportion of doses not completed within three days of the expected date|Part I: Proportion of doses not completed within 14 days of the expected date|Part I: Proportion of participants with a treatment interruption of more than six months during maintenance|Part I: Proportion of participants discontinued within three months of the intial dose|Part I: Proportion of participants discontinued within 12 months of the intial dose.|Part I: Proportion of doses not completed within three days of the expected date for individual patient sub-groups|Part II: Proportion of doses not completed within 14 days of the expected date|Part II: proportion of participants discontinued within 18 months of the intial dose|Part II: Change in work productivity measured by the Work Productivity and Activity Impairment (WPAI) questionnaire|Part II: Change in generic health status as measured by the EQ5D|Part II: Change in fatigue as measured by the Fatigue Scale for Motor and Cognitive Function (FSMC).|Part II: Assessment of treatment satisfaction as measured by the Treatment Satisfaction Questionnaire for Medication (TSQM1.4)|Part II: Proportion of self administration|Part II: Proportion of patients initiating ofatumumab who are treatment naïve|Part II: Change in Expanded Disability Status Scale (EDSS)|Part II: Annualized relapse rate|Part II: Number of T1 Gd-enhancing lesions per MRI scan|Part II: Number of new or enlarging T2 lesions on MRI|Percentage brain volume change,False,
NCT06121648,Effect of Hydrotherapy on Multiple Sclerosis,Effect of Hydrotherapy on the Balance and Fatigue of Multiple Sclerosis Patients,ACTIVE_NOT_RECRUITING,2023-09-01,2023-11-26,2023-12-15,2023-11-21,2023-11-08,INTERVENTIONAL,NA,26.0,ACTUAL,University of Thessaly,OTHER,,,Multiple Sclerosis,,Greece,Lamía,Central Macedonia,1,hydrotherapy|neurological physiotherapy,OTHER|OTHER,BBS scale|MFIS scale,,False,
NCT01667497,Does Fampridine SR Improve Cognitive Fatigue in Multiple Sclerosis Patients?,Does Fampridine SR Improve Cognitive Fatigue in Multiple Sclerosis Patients? A Cross Over Study,COMPLETED,2012-09,2015-07,2015-08,2015-09-02,2012-08-17,INTERVENTIONAL,PHASE2|PHASE3,60.0,ACTUAL,London Health Sciences Centre,OTHER,,,Cognitive Fatigue,Cognitive fatigue|multiple sclerosis,Canada,London,Ontario,1,Fampridine SR|Placebo,DRUG|DRUG,Change in Paced Auditory Serial Addition Test (PASAT) Cognitive Fatigue scores,,False,
NCT04203498,Safety and Effectiveness of Nabiximols Oromucosal Spray as Add-on Therapy in Participants With Spasticity Due to Multiple Sclerosis,"A Double-blind, Randomized, Placebo-controlled, Parallel-group Trial of the Efficacy and Safety of Nabiximols Oromucosal Spray as Add-on Therapy in Patients With Spasticity Due to Multiple Sclerosis",TERMINATED,2020-10-01,2023-02-10,2023-02-28,2024-05-08,2019-12-18,INTERVENTIONAL,PHASE3,139.0,ACTUAL,Jazz Pharmaceuticals,INDUSTRY,,,Multiple Sclerosis (MS),Spasticity,United States,Birmingham,Alabama,37,Nabiximols|Placebo,DRUG|DRUG,Change in Average Daily Spasm Count From Baseline to Week 12 By 4-Week Period During the 12-Week Randomized Period,Change in Multiple Sclerosis Spasticity Scale (MSSS-88) Total Score|Number of Patients Reporting Any Treatment-emergent Adverse Events|Change From Baseline in Clinical Laboratory Test Values|Change From Baseline in Erythrocytes|Change From Baseline in Hemoglobin|Change From Baseline in Hematocrit Ratio|Change From Baseline in Erythrocyte Mean Corpuscular Hemoglobin|Change From Baseline in Blood Pressure|Change From Baseline in Heart Rate|Change From Baseline in Electrocardiogram Parameters|Change From Baseline in Electrocardiogram Pulse Rate|Change From Baseline in Weight|Change in Body Mass Index|Number of Patients With Suicidal Ideation or Behavior Based on Columbia-Suicide Severity Rating Scale (C-SSRS),True,2024-05-08
NCT02193906,Neuropsychological Profile of a Patient's Group With Multiple Sclerosis and Effect of a Cognitive Rehabilitation Program,Neuropsychological Profile of a Portuguese Patient's Group With Multiple Sclerosis and Results of a Cognitive Rehabilitation Program,UNKNOWN,2012-12,2013-06,2014-12,2014-07-18,2014-07-18,INTERVENTIONAL,NA,75.0,ESTIMATED,Aveiro University,OTHER,,,Cognitive Dysfunction,Cognitive training|Multiple sclerosis|Cognitive deficits,,,,0,Cognitive training|Placebo task,OTHER|OTHER,Effect of an intensive cognitive rehabilitation program in neuropsychological performance of a population of patients with multiple sclerosis or clinical isolated syndrome.,Neuropsychological profile of a population of patients with multiple sclerosis or clinical isolated syndrome.|Percentage of patients with Cognitive Dysfunction|Relation between Expended Disability Status Scale score and cognitive dysfunction.|Impact of depression on neuropsychological performance.|Relation between cognitive dysfunction and the 9-hole peg test.|Relation between cognitive dysfunction and the 25-foot walk test.,False,
NCT03570268,Preventing Falls and Participation Restrictions in Neurological Diseases,Educational and Exercise Intervention to Prevent Falls and Participation Restrictions in Subjects With Neurological Diseases,COMPLETED,2015-01-01,2016-12-30,2017-01-15,2018-06-26,2018-06-26,INTERVENTIONAL,NA,90.0,ACTUAL,Fondazione Don Carlo Gnocchi Onlus,OTHER,,,Multiple Sclerosis|Parkinson Disease|Stroke,Falls prevention|Education|Neurological disease,Italy,Milan,,1,Experimental Group: Education|Control Group: Usual care,OTHER|OTHER,Change of Percentage of fallers,Change of Participation level,False,
NCT05811949,Effects of Dimethyl Fumarate on Cognitive Performance and Brain Abnormalities in Multiple Sclerosis.,Effects of Dimethyl Fumarate on Cognitive Performances and Gray Matter and Thalamic Pathology in Multiple Sclerosis: a Correlation Study.,COMPLETED,2021-02-24,2022-10-11,2023-06-07,2024-10-15,2023-04-13,OBSERVATIONAL,,52.0,ACTUAL,IRCCS Centro Neurolesi Bonino Pulejo,OTHER,,,Multiple Sclerosis,,Italy,Messina,,1,Dimethyl Fumarate 240 MG [Tecfidera],DRUG,Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Change in subjects' cognitive performance|Changes brain MRI parameters|Changes brain MRI parameters|Changes brain MRI parameters|Changes brain MRI parameters,Correlation between scores of cognitive battery and brain MRI parameters,False,
NCT00913250,A Bioequivalence Study of Serum Free Avonex and Serum Containing Avonex in Healthy Volunteers,"A Randomized, Single-Blind, Crossover Study in Healthy Volunteers to Demonstrate the Bioequivalence of AVONEX® (Interferon Beta-1a) Solutions for Injection Produced by a Serum-Containing Manufacturing Process and by a Serum-Free Manufacturing Process",COMPLETED,2003-08,,2003-10,2009-06-04,2009-06-04,INTERVENTIONAL,PHASE1,96.0,ACTUAL,Biogen,INDUSTRY,,,Multiple Sclerosis,Multiple Sclerosis|Interferon beta-1a,,,,0,Serum containing Avonex|Serum Free Avonex,DRUG|DRUG,To demonstrate the bioequivalence of a serum-free Avonex and a serum-containing AVONEX® when given intramuscularly (IM) to healthy volunteers.,,False,
NCT01895335,Using Patient Reported Outcomes (PROs) to Evaluate Teriflunomide Treatment in Relapsing Multiple Sclerosis (RMS) Patients,"A Prospective, Single-Arm, Clinical-Setting Study to Describe Efficacy, Tolerability and Convenience of Teriflunomide Treatment Using Patient Reported Outcomes (PROs) in Relapsing Multiple Sclerosis (RMS) Patients",COMPLETED,2013-06,2015-11,2015-11,2016-12-06,2013-07-10,INTERVENTIONAL,PHASE4,1001.0,ACTUAL,Sanofi,INDUSTRY,,,Multiple Sclerosis,,United States,Birmingham,Alabama,169,Teriflunomide,DRUG,Treatment Satisfaction Questionnaire for Medication (TSQM) Version 1.4 - Assessment of Global Satisfaction Subscale Score With Teriflunomide Treatment at Week 48,"Change From Baseline in TSQM Scores in Participants Switching From Another Disease Modifying Therapy (DMT) at Week 4 and Week 48|Change From Week 4 in TSQM Scores in Naïve Participants to Week 48|Change From Baseline in Disease Progression Using Patient Determined Disease Steps (PDDS) Score at Week 48|Change From Baseline in Multiple Sclerosis Performance Scale (MSPS) Score at Week 24 and Week 48|Annualized Treated Relapse Rate|Time to Relapse: Kaplan-Meier Estimates of the Probability of Treated Relapse at Week 4, Week 24 and Week 48|Change From Baseline in Cognition Measured by Symbol Digit Modalities Test (SDMT) Score at Week 48|Overview of Adverse Events (AEs)|Percentage of Participants With Treatment Compliance of ≥80% During the Study Treatment Period|Duration of Teriflunomide Treatment Exposure|Change From Baseline in Multiple Sclerosis International Quality of Life (MusiQoL) Score at Week 48|Change From Baseline in Stern Leisure Activity Scale at Week 48|Expanded Disability Status Scale (EDSS) Score at Baseline and Week 48",True,2016-12-06
NCT02457091,Project Get Fit With MS: Guidelines for Exercise Training and Fitness Outcomes in MS,Project GET FIT With MS: Guidelines for Exercise Training and Fitness Outcomes in MS,COMPLETED,2013-10,2014-09,2014-12,2015-12-03,2015-05-29,INTERVENTIONAL,PHASE2,32.0,ACTUAL,University of Illinois at Urbana-Champaign,OTHER,,,Multiple Sclerosis,multiple sclerosis|exercise|home-based|training|fitness,United States,Urbana-Champaign,Illinois,1,Resistance exercise|Stretching exercise,BEHAVIORAL|BEHAVIORAL,Physical fitness (aerobic and muscular)|Walking and physical function|Cognition|Physical activity|Patient-rated outcomes,Body composition|OCT Eye imaging|Cardiovascular function|Blood biomarkers,False,
NCT07142291,Phase IIB Study of PHENOGENE-1A (Cromolyn) as an Adjuvant Therapy in Mild to Moderate ALS,"A Phase IIB Randomized, Double-Blind, Placebo-Controlled, Multi-Dose Study to Evaluate the Effects of PHENOGENE-1A (Cromolyn) as an Adjuvant Treatment in Subjects With Mild to Moderate Amyotrophic Lateral Sclerosis (ALS)",NOT_YET_RECRUITING,2025-09,2027-09,2028-03,2025-09-18,2025-08-26,INTERVENTIONAL,PHASE2,105.0,ESTIMATED,"PhenoNet, Inc.",INDUSTRY,,,Amyotrophic Lateral Sclerosis (ALS),Amyotrophic Lateral Sclerosis|Lou Gehrigs Disease|ALS,,,,0,Riluzole 50 MG,DRUG,Absolute change in ALSFRS-R total score from baseline to Week 24|Incidence and severity of treatment-emergent adverse events (TEAEs) and serious adverse events (SAEs),"Mean rank for CAFS at Week 24|Time to event requiring full-time or nearly full-time respiratory support|Mean change in percent predicted forced vital capacity (%FVC) from baseline to Week 24|Mean change in peak inspiratory flow rate (PIFR) from baseline to Week 24|Absolute Values and Changes From Baseline in Vital Signs From Baseline to Week 24 by Treatment Arm|Number and Percentage of Subjects With Abnormal Clinical Laboratory Values and Changes From Baseline to Week 24 by Treatment Arm|Number and Percentage of Subjects With Abnormal Physical Examination Findings From Baseline to Week 24 by Treatment Arm|Number and Percentage of Subjects With Abnormal Neurological Examination Findings From Baseline to Week 24 by Treatment Arm|Number and Percentage of Subjects With Abnormal Electrocardiogram (ECG) Findings From Baseline to Week 24 by Treatment Arm|Number and Percentage of Subjects With Suicidal Ideation, Suicidal Behavior, or Self-Injurious Behavior Without Suicidal Intent on the Columbia Suicide Severity Rating Scale (C-SSRS) From Baseline to Week 24 by Treatment Arm|Number and Percentage of Subjects Who Discontinue Study Participation Due to Adverse Events From Baseline to Week 24",False,
